artist,unique_songs,total_days
Taylor Swift,96,438
Drake,35,325
Zach Bryan,35,546
Lil Uzi Vert,35,54
Travis Scott,31,332
Post Malone,27,179
Beyoncé,25,72
Bad Bunny,22,168
Kendrick Lamar,20,247
Future & Metro Boomin,19,169
¥$ & Kanye West & Ty Dolla $Ign,18,113
Olivia Rodrigo,18,280
Eminem,17,62
"Tyler, The Creator",16,445
Kanye West & Ty Dolla $Ign,16,4
Ariana Grande,15,185
Sabrina Carpenter,14,316
21 Savage,13,116
J. Cole,13,275
Billie Eilish,12,333
Peso Pluma,11,234
Nicki Minaj,11,59
Young Thug,10,8
Morgan Wallen,10,540
Metro Boomin,9,56
Future,8,6
Noah Kahan,8,437
Charli Xcx,7,95
Don Toliver,6,67
Karol G,6,140
Luke Combs,6,335
Chappell Roan,6,232
Toby Keith,6,10
Gunna,5,308
Tate Mcrae,5,249
Usher,5,8
The Weeknd,5,85
Lil Durk,4,86
Newjeans,4,51
Glorilla,4,60
Gracie Abrams,4,125
Hozier,4,230
Dua Lipa,4,110
Jimmy Buffett,4,3
Doja Cat,4,238
Nat King Cole,4,34
Fuerza Regida,4,149
Frank Sinatra,4,34
Nle Choppa,3,48
Linkin Park,3,17
Bing Crosby,3,18
Tommy Richman,3,206
Benson Boone,3,307
Lil Tecca,3,186
Sza,3,401
Wicked Movie Cast & Cynthia Erivo & Ariana Grande,3,3
Megan Thee Stallion,3,56
Xavi,3,106
Miley Cyrus,3,97
Rauw Alejandro,2,9
Jung Kook,2,14
Perry Como,2,34
Ice Spice,2,48
Rihanna,2,2
Ivan Cornejo,2,2
Zac Brown Band,2,6
Various Artists,2,6
Jimin,2,131
One Direction,2,10
The Jackson 5,2,5
Tv Girl,2,67
Kali Uchis,2,140
Kanye West,2,61
The Kid Laroi,2,147
Troye Sivan,2,20
Kelly Clarkson,2,34
Lady Gaga,2,4
Laufey,2,28
Rod Wave,2,2
The Marías,2,52
The Weeknd & Playboi Carti & Madonna,2,9
The Weeknd & Madonna,2,45
Michael Bublé,2,37
Michael Jackson,2,5
Steve Lacy,2,61
Koe Wetzel,2,7
Frank Ocean,2,217
Andrew Gold,2,2
Dean Martin,2,42
Bruce Springsteen,2,9
David Kushner,2,56
Bryson Tiller,2,89
Dasha,2,198
D4Vd,2,26
Artemas,2,100
Andy Williams,2,42
Elvis Presley,2,30
Chris Stapleton,2,4
Burl Ives,2,37
Charli Xcx & Billie Eilish,2,69
Camila Cabello & Playboi Carti,1,5
Rosé & Bruno Mars,1,39
Richy Mitch & The Coal Miners,1,55
Olivia Rodrigo & Rachel Zegler & Flatland Cavalry,1,35
Rick James,1,1
Cardi B & Megan Thee Stallion,1,9
Oliver Anthony Music,1,54
Rockwell,1,3
Offset,1,6
Ryan Gosling,1,8
Rema,1,52
Brent Faiyaz,1,18
Selena Gomez,1,10
Sexyy Red,1,56
Shaboozey,1,226
Sia,1,5
Sophie Ellis-Bextor,1,31
Brenda Lee,1,61
Stromae & Pomme & Arcane,1,1
Rich Amiri,1,81
Ray Parker Jr.,1,4
Calle 24 & Chino Pacas & Fuerza Regida,1,56
Onerepublic,1,3
Peso Pluma & Anitta,1,27
Paul Russell,1,1
Paul Mccartney,1,13
Oscar Maydon & Fuerza Regida,1,39
Peso Pluma & Junior H & Eslabon Armado,1,1
Peso Pluma & Junior H & Oscar Maydon,1,1
Peso Pluma & Natanael Cano,1,44
Peso Pluma & Tito Double P & Joel De La P,1,4
Pharrell Williams & Miley Cyrus,1,1
Bts,1,1
Pinkpantheress & Ice Spice,1,100
Playboi Carti,1,20
Cardi B,1,5
Bonnie Tyler,1,1
Post Malone & Blake Shelton,1,28
Post Malone & Luke Combs,1,20
Post Malone & Morgan Wallen,1,95
Quavo & Lana Del Rey,1,20
Surf Curse,1,6
Tainy,1,8
Sza & Justin Bieber,1,1
Vince Guaraldi Trio,1,12
Band Aid,1,4
Travis Scott & Bad Bunny & The Weeknd,1,33
Bailey Zimmerman,1,67
Tucker Wetmore,1,13
Twenty One Pilots,1,1
Tyla,1,52
Tyler Childers,1,7
Arctic Monkeys,1,17
Van Morrison,1,3
André 3000,1,1
Wham!,1,63
Toosii,1,2
Alan Jackson,1,2
Yeat,1,38
Yg Marley,1,42
Yng Lvcas & Peso Pluma,1,113
Addison Rae,1,29
4Batz & Drake,1,13
4Batz,1,53
Zach Bryan & Bon Iver,1,8
Zach Bryan & Maggie Rogers,1,4
Zach Bryan & Noah Kahan,1,13
Toosii & Future,1,4
Beabadoobee & Laufey,1,1
Noah Kahan & Kacey Musgraves,1,1
The Living Tombstone,1,1
Talking Heads,1,1
Bobby Helms,1,54
"Bobby ""Boris"" Pickett & The Crypt-Kickers",1,8
Teddy Swims,1,329
The Beach Boys,1,22
The Beatles,1,4
Blue Öyster Cult,1,1
Blink-182,1,1
The Kid Laroi & Jung Kook & Central Cee,1,1
The Killers,1,3
Bizarrap & Peso Pluma,1,46
Tom Petty And The Heartbreakers,1,4
The Neighbourhood,1,183
The Ronettes,1,34
Bing Crosby & Fred Astaire,1,56
The Weeknd & Jennie & Lily-Rose Depp,1,53
Bill Withers,1,1
The Weeknd & Playboi Carti,1,60
Bigxthaplug,1,58
Thomas Rhett,1,2
Tito Double P,1,9
Beyoncé & Kendrick Lamar,1,4
Noah Kahan & Post Malone,1,35
Nicki Minaj & Ice Spice & Aqua,1,104
Noah Kahan & Hozier,1,8
Drake & Sza,1,21
Jid,1,110
Eagles,1,12
Jimin & Loco,1,14
Dropkick Murphys,1,1
John Denver,1,2
John Lennon,1,6
Jordan Adetunji,1,7
José Feliciano,1,34
Juice Wrld,1,1
Juice Wrld & Eminem & Benny Blanco,1,5
Jung Kook & Jack Harlow,1,12
Donny Hathaway,1,5
Jung Kook & Latto,1,81
Jung Kook & Latto & Bts,1,2
Junior H & Peso Pluma,1,70
Justin Bieber,1,29
Justin Timberlake,1,2
Jvke,1,40
Kacey Musgraves,1,2
Kali,1,43
Drake & Central Cee,1,1
Kaliii,1,10
Jessie Murph & Jelly Roll,1,3
Jason Aldean,1,7
Jack Harlow,1,157
"Earth, Wind & Fire & Sped Up + Slowed",1,3
Flo Milli,1,76
Fleetwood Mac,1,12
Gayla Peevey,1,3
Gene Autry,1,4
Gigi Perez,1,94
Girl In Red,1,11
Fifty Fifty,1,71
Good Neighbours,1,53
Eslabon Armado,1,170
Grupo Frontera,1,21
Grupo Frontera & Bad Bunny,1,79
Eminem & Big Sean & Babytron,1,8
Hanumankind & Kalmi,1,59
Harry Styles,1,92
Hotel Ugly,1,45
Ella Langley & Riley Green,1,18
Ice Spice & Central Cee,1,17
Ice Spice & Nicki Minaj,1,2
Illit,1,12
Eartha Kitt,1,23
J Hus & Drake,1,1
Drake & 21 Savage,1,18
Don Mclean,1,3
Central Cee & Lil Baby,1,34
Mitski,1,224
Mariah Carey,1,75
Mark Ambor,1,3
Marvin Gaye & Tammi Terrell,1,1
Megan Thee Stallion & Rm,1,6
Creedence Clearwater Revival,1,4
Mgk & Jelly Roll,1,2
Conan Gray,1,2
Chuck Berry,1,20
Michael Marcagi,1,127
Miguel,1,16
Moneybagg Yo,1,3
Karol G & Feid & Dfzm,1,1
Chino Pacas,1,32
Mustard & Travis Scott,1,7
Myke Towers,1,49
Myke Towers & Bad Bunny,1,3
Myles Smith,1,76
Childish Gambino,1,7
Natanael Cano & Peso Pluma & Gabito Ballesteros,1,34
Charli Xcx & Troye Sivan,1,1
Charli Xcx & Lorde,1,2
Floyymenor & Cris Mj,1,113
Lyrical Lemonade & Juice Wrld & Cordae,1,7
Lynyrd Skynyrd,1,3
Darius Rucker,1,2
Luis R Conriquez & Neton Vega,1,1
Katy Perry,1,3
Dominic Fike,1,2
Ken Carson,1,2
Djo,1,148
Kendrick Lamar & Sza,1,1
Kenny Chesney,1,3
Kenya Grace,1,83
Kid Rock,1,2
*Nsync,1,16
Koe Wetzel & Jessie Murph,1,26
Ksi & Trippie Redd,1,2
Dj Agus Lima,1,2
Lady Gaga & Bruno Mars,1,103
Lana Del Rey,1,15
Lay Bankz,1,33
Leftovermax,1,1
Lil Durk & J. Cole,1,10
Lil Mabu,1,14
Daryl Hall & John Oates,1,2
Lil Uzi Vert & Sped Up Nightcore & Arizonatears,1,3
Darlene Love,1,31
$Uicideboy$,1,5
